A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,
,F,CXCL10,C-X-C motif chemokine 10,"10 kDa interferon gamma-induced protein; C-X-C motif chemokine 10; C-X-C motif chemokine ligand 10; C7; chemokine (C-X-C motif) ligand 10; crg-2; CXCL10; CXCL10(1-73); CXL10; gamma IP10; Gamma-IP10; gIP-10; IFI10; INP10; interferon-inducible cytokine IP-10; IP-10; IP10; mob-1; protein 10 from interferon (gamma)-induced cell line; SCYB10; small inducible cytokine subfamily B (Cys-X-Cys),member 10; Small-inducible cytokine B10",Protein,"10,881",22 – 98(C-X-C motif chemokine 10); 22 – 94 (CXCL10(1-73)),Peptidylarginine deiminase (PAD),,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL11,C-X-C motif chemokine 11,"b-R1; Beta-R1; C-X-C motif chemokine 11; C-X-C motif chemokine ligand 11; chemokine (C-X-C motif) ligand 11; CXCL11; CXL11; H174; I-TAC; Interferon gamma-inducible protein 9; Interferon-inducible T-cell alpha chemoattractant; IP-9; IP9; ITAC; MGC102770; SCYB11; SCYB9B; small inducible cytokine B11; small inducible cytokine subfamily B (Cys-X-Cys),member 11; small inducible cytokine subfamily B (Cys-X-Cys),member 9B; Small-inducible cytokine B11
",Protein,"10,365",22-94 (C-X-C motif chemokine 11),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL12 (SDF1),C-X-C motif chemokine 12 (Stromal cell-derived factor 1),C-X-C motif chemokine 12; C-X-C motif chemokine ligand 12; chemokine (C-X-C motif) ligand 12; chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1); CXCL12; hIRH; hSDF-1; Intercrine reduced in hepatomas; IRH; PBSF; Pre-B cell growth-stimulating factor; SCYB12; SDF-1; SDF-1-alpha(3-67); SDF-1-beta(3-72); SDF-1a; SDF-1b; SDF1; SDF1A; SDF1B; Stromal cell-derived factor 1; stromal cell-derived factor 1 delta; stromal cell-derived factor 1 gamma; stromal cell-derived factor 1a; TLSF; TLSF-a; TLSF-b; TPAR1,Protein,"10,666",22 – 93 (Stromal cell-derived factor 1); 24 – 93 (SDF-1-beta(3-72)); 24 – 88 ( SDF-1-alpha(3-67)),DPP4,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL13,C-X-C motif chemokine 13,"Angie; ANGIE2; B cell-attracting chemokine 1; B lymphocyte chemoattractant; B-cell chemoattractant; B-cell-attracting chemokine 1; B-cell-homing chemokine (ligand for Burkitt's lymphoma receptor-1); B-lymphocyte chemoattractant; BCA-1; BCA1; BLC; BLR1L; C-X-C motif chemokine 13; C-X-C motif chemokine ligand 13; chemokine (C-X-C motif) ligand 13; chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant); CXC chemokine BLC; CXCL13; CXL13; SCYB13; small inducible cytokine B subfamily (Cys-X-Cys motif),member 13 (B-cell chemoattractant); Small-inducible cytokine B13",Protein,"12,664",23 – 109,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL14,C-X-C motif chemokine 14,"BMAC; bolekine; BRAK; breast and kidney; C-X-C motif chemokine 14; C-X-C motif chemokine ligand 14; chemokine (C-X-C motif) ligand 14; Chemokine BRAK; CXC chemokine in breast and kidney; CXCL14; CXL14; KEC; KS1; MGC10687; MIP-2 gamma; MIP-2G; MIP2G; NJAC; SCYB14; small inducible cytokine subfamily B (Cys-X-Cys),member 14 (BRAK); Small-inducible cytokine B14; tumor-suppressing chemokine",Protein,"13,078",35-111,Proteinase 3,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL16,C-X-C motif chemokine 16,C-X-C motif chemokine 16; C-X-C motif chemokine ligand 16; chemokine (C-X-C motif) ligand 16; CXC chemokine ligand 16; CXCL16; CXCLG16; CXL16; Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein; SCYB16; Small-inducible cytokine B16; SR-PSOX; SRPSOX; Transmembrane chemokine CXCL16,Protein,"27,579",30-254,Metalloprotease ADAM10 and ADAM17,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL17,C-X-C motif chemokine 17 (VEGF coregulated chemokine 1),4-Cys CXCL17; 6-Cys CXCL17; C-X-C motif chemokine 17; C-X-C motif chemokine ligand 17; chemokine (C-X-C motif) ligand 17; CXCL17; CXL17; Dcip1; Dendritic cell and monocyte chemokine-like protein; DMC; MGC138300; UNQ473; VCC-1; VCC1; VEGF co-regulated chemokine 1; VEGF coregulated chemokine 1,Protein,"13,819",22-119,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL2,C-X-C motif chemokine 2,C-X-C motif chemokine 2; C-X-C motif chemokine ligand 2; chemokine (C-X-C motif) ligand 2; CINC-2a; CXCL2; Gro-beta; GRO-beta(5-73); GRO-beta-T; GRO2; GRO2 oncogene; GROB; Growth-regulated protein beta; Hematopoietic synergistic factor; HSF; Macrophage inflammatory protein 2-alpha; melanoma growth stimulatory activity beta; MGSA beta; MGSA-b; MIP-2a; MIP2; MIP2-alpha; MIP2A; SB-251353; SCYB2,Protein,"11,389",35-107,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL3,C-X-C motif chemokine 3,C-X-C motif chemokine 3; C-X-C motif chemokine ligand 3; chemokine (C-X-C motif) ligand 3; CINC-2b; CXCL3; GRO-gamma; GRO-gamma(1-73); GRO-gamma(5-73); GRO3; GRO3 oncogene; GROg; growth-regulated protein gamma; macrophage inflammatory protein 2-beta; Melanoma growth stimulatory activity gamma; MGSA gamma; MIP-2b; MIP2-beta; MIP2B; SCYB3,Protein,"11,342",35-107 (C-X-C motif chemokine 3); 39-107 (GRO-gamma(5-73)),Cathepsin K; Cathepsin L; Cathepsin B,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL4 (PF4),C-X-C motif chemokine 4 (Platelet Factor 4),"C-X-C motif chemokine 4; chemokine (C-X-C motif) ligand 4; CXCL4; Endothelial cell growth inhibitor; Iroplact; Oncostatin-A; PF-4; PF4; Platelet factor 4; Platelet factor 4,short form; PLF4; SCYB4",Protein,"10,845","32 – 101(Platelet factor 4); 48 – 101(Platelet factor 4,short form)",,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL5,C-X-C motif chemokine 5,"C-X-C motif chemokine 5; C-X-C motif chemokine ligand 5; chemokine (C-X-C motif) ligand 5; CXCL5; ENA-78; ENA-78(1-78); ENA-78(8-78); ENA-78(9-78); ENA78; epithelial-derived neutrophil activating protein 78; epithelial-derived neutrophil-activating peptide 78; Epithelial-derived neutrophil-activating protein 78; Neutrophil-activating peptide ENA-78; neutrophil-activating protein 78; SCYB5; small inducible cytokine B5; small inducible cytokine subfamily B (Cys-X-Cys),member 5 (epithelial-derived neutrophil-activating peptide 78); Small-inducible cytokine B5",Protein,"11,972",37-144 (C-X-C motif chemokine 5); 44 – 114 ENA-78(8-78); 45 – 114 ENA-78(9-78),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL6,C-X-C motif chemokine 6,"C-X-C motif chemokine 6; C-X-C motif chemokine ligand 6; chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2); Chemokine alpha 3; CKA-3; CXCL6; GCP-2; GCP2; Granulocyte chemotactic protein 2; SCYB6; small inducible cytokine subfamily B (Cys-X-Cys),member 6 (granulocyte chemotactic protein 2); Small inducible cytokine subfamily B (Cys-X-Cys),member b; Small-inducible cytokine B6; Small-inducible cytokine B6,N-processed variant 1; Small-inducible cytokine B6,N-processed variant 2; Small-inducible cytokine B6,N-processed variant 3",Protein,"11,897","38 – 114 (C-X-C motif chemokine 6); 40 – 114 (Small-inducible cytokine B6,N-processed variant 1); 43 – 114 (Small-inducible cytokine B6,N-processed variant 2); 46 – 114 (Small-inducible cytokine B6,N-processed variant 3)",,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL7,C-X-C motif chemokine 7 (Platelet basic protein),"B-TG1; Beta-TG; Beta-thromboglobulin; C-X-C motif chemokine 7; chemokine (C-X-C motif) ligand 7; Connective tissue-activating peptide III; Connective tissue-activating peptide III(1-81); CTAP-III; CTAP-III(1-81); CTAP3; CTAPIII; CXC chemokine ligand 7; CXCL7; LA-PF4; LDGF; Leukocyte-derived growth factor; Low-affinity platelet factor IV; Macrophage-derived growth factor; MDGF; NAP-2; NAP-2(1-63); NAP-2(1-66); NAP-2(73); NAP-2(74); Neutrophil-activating peptide 2; Neutrophil-activating peptide 2(1-63); Neutrophil-activating peptide 2(1-66); Neutrophil-activating peptide 2(73); Neutrophil-activating peptide 2(74); neutrophil-activating peptide-2; PBP; Platelet basic protein; PPBP; pro-platelet basic protein; pro-platelet basic protein (chemokine (C-X-C motif) ligand 7); SCYB7; small inducible cytokine B7; small inducible cytokine subfamily B,member 7; Small-inducible cytokine B7; TC-1; TC-2; TC1; TC2; TGB; TGB1; THBGB; THBGB1; thrombocidin 1; thrombocidin 2; thromboglobulin,beta-1",Protein,"13,894",35 – 129,CTAP-III,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL9,C-X-C motif chemokine 9,C-X-C motif chemokine 9; C-X-C motif chemokine ligand 9; chemokine (C-X-C motif) ligand 9; CMK; crg-10; CXCL9; Gamma-interferon-induced monokine; Humig; MIG; monokine induced by gamma interferon; Monokine induced by interferon-gamma; SCYB9; Small-inducible cytokine B9,Protein,"14,019",23-125,Gelatinase B and neutrophil collagenase/MMP-8,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
19356-17-3,T,25-hydroxyvitamin D3,Calcidiol,Calcidiol; 25-hydroxycholecalciferol; 25-hydroxyvitamin D,Small molecule,,,,400.33,5283731,4446820,1040,https://commonchemistry.cas.org/detail?cas_rn=19356-17-3&search=19356-17-3,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5283731,http://www.chemspider.com/Chemical-Structure.4446820.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/1040,,CYP2R1,Vitamin D 25-hydroxylase,Cytochrome P450 2R1,Q6VVX0,,,T,F,F,F,T,F,F,T,F,
67-97-0,T,Vitamin D3,Calciferol,"Cholecalciferol,activated 7-dehydrocholesterol",Small molecule,,,,384.64,5280795,4444353,ChEMBL1042,https://commonchemistry.cas.org/detail?cas_rn=67-97-0&search=67-97-0,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280795,http://www.chemspider.com/Chemical-Structure.4444353.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL1042,,DHCR7,7-dehydrocholesterol reductase,SLOS,Q9UBM7,,,T,F,F,F,T,F,F,T,F,
,F,CALCA,Calcitonin,"alpha-type CGRP; CALC; CALC1; CALCA; Calcitonin; calcitonin 1; Calcitonin carboxyl-terminal peptide; calcitonin gene-related peptide 1; calcitonin gene-related peptide I; calcitonin related polypeptide alpha; calcitonin/calcitonin-related polypeptide,alpha; CCP; CGRP; CGRP-alpha; CGRP-I; CGRP1; CT; Katacalcin; KC; PCT; PDN-21",Protein,"15,467",85 -16,CALC1 gene endcoding prepropeptide,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,CTF1,Cardiotrophin-1,cardiophin 1; cardiotrophin 1; Cardiotrophin-1; CT-1; CT1; CTF1,Protein,"21,227",1-201,ADAM10; presenilin,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CLCF1,Cardiotrophin-like cytokine factor 1,B-cell stimulatory factor 3; B-cell-stimulating factor 3; BSF-3; BSF3; cardiotrophin like cytokine factor 1; Cardiotrophin-like cytokine factor 1; CISS2; CLC; CLCF1; CRLF1 associated cytokine-like factor 1; neurotrophin-1/B-cell stimulating factor-3; NNT-1; NNT1; Novel neurotrophin-1; NR6,Protein,"25,176 (isoform 1); 24,087 (isoform 2)",28 – 225,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CD27L; CD70,CD27 ligand,"CD27 ligand; CD27-L; CD27L; CD27LG; CD70; CD70 antigen; CD70 molecule; Ki-24 antigen; LPFS3; surface antigen CD70; TNFSF7; TNLG8A; tumor necrosis factor (ligand) superfamily,member 7; tumor necrosis factor ligand 8A; Tumor necrosis factor ligand superfamily member 7; tumor necrosis factor ligand superfamily,member 7",Protein,"21,118",1-193 (CD70 antigen),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CD30L,CD30 ligand,"CD153; CD153 antigen; CD30 antigen ligand; CD30 ligand; CD30-L; CD30L; CD30LG; MGC138144; TNF superfamily member 8; TNFL8; TNFSF8; TNLG3A; tumor necrosis factor (ligand) superfamily,member 8; tumor necrosis factor ligand 3A; Tumor necrosis factor ligand superfamily member 8; tumor necrosis factor superfamily member 8",Protein,"26,017",1 – 234,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CD40L,CD40 ligand,"CD154; CD40 antigen ligand; CD40 ligand; CD40 ligand,membrane form; CD40 ligand,soluble form; CD40-L; CD40L; CD40LG; gp39; hCD40L; HIGM1; IGM; IMD3; sCD40L; T-B cell-activating molecule; T-BAM; T-cell antigen Gp39; TNF-related activation protein; TNFSF5; TRAP; tumor necrosis factor (ligand) superfamily member 5; Tumor necrosis factor ligand superfamily member 5",Protein,"29,274",113 – 261,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CER1,Cerberus,"CER1; Cerberus; cerberus 1,cysteine knot superfamily,homolog; cerberus 1,cysteine knot superfamily,homolog (Xenopus laevis); cerberus 1,DAN family BMP antagonist; cerberus-related 1; Cerberus-related protein; DAN domain family member 4; DAND4; MGC119894; MGC119895; MGC96951",Protein,"30,084",18-267,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,RARRES2,Chemerin (Retinoic acid receptor responder protein 2),chemerin; HP10433; Q99969; RAR-responsive protein TIG2; RARR2; RARRES2; retinoic acid receptor responder (tazarotene induced) 2; retinoic acid receptor responder 2; Retinoic acid receptor responder protein 2; Tazarotene-induced gene 2 protein; TIG2,Protein,"18,618",21-157,"Multiple proteases including cathepsin G,elastase,plasmin and tryptase",,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCK,Cholecystokinin,(1-49)-CCK58; CCK; CCK12; CCK18; CCK25; CCK33; CCK39; CCK5; CCK58; CCK7; CCK8; CCKN; Cholecystokinin; cholecystokinin triacontatriapeptide; Cholecystokinin-12; Cholecystokinin-18; Cholecystokinin-25; Cholecystokinin-33; Cholecystokinin-39; Cholecystokinin-5; Cholecystokinin-58; Cholecystokinin-58 desnonopeptide; Cholecystokinin-7; Cholecystokinin-8; prepro-cholecystokinin,Protein,"12,669","43-103,46-94,65-103,71-103,79-103,86-103,92-103,96-103,97-103,99-103","PC1,PC2",,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
,F,CNTF,Ciliary neurotrophic factor,Ciliary Neuronotrophic Factor; EPH-related receptor tyrosine kinase ligand 1; HCNTF; Immediate early response protein B61; Tumor necrosis factor alpha-induced protein 4; TNF alpha-induced protein 4; EPLG1; LERK1; TNFAIP4,Protein,"22,931",1-200,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,CART,Cocaine- and amphetamine-regulated transcript,CART; CART prepropeptide; CART(1-39); CART(42-89); CARTPT; cocaine and amphetamine regulated transcript; Cocaine- and amphetamine-regulated transcript protein,Protein,"12,829",28-116 (Cocaine- and amphetamine-regulated transcript protein); 28-66 (CART(1-39)); 69-116 (CART(42-89)),PC2 (SPC2); PC1/3 (SPC3),,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,ACTH,Corticotropin (Adrenocorticotropic hormone),,Protein,"29,424",138 – 176,,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,CRH; CRF,Corticotropin-releasing hormone,Corticoliberin; corticotropin releasing hormone; Corticotropin-releasing factor; Corticotropin-releasing hormone; CRF; CRH; CRH1,Protein,"21,422",154-194 (corticoliberin); 154-194 (pro-corticotropin),,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
50-23-7,T,,Cortisol,"11β,17α,21-trihydroxypregn-4-ene-3,20-dione; ",Small molecule,-,,,362.46,5754,5551,ChEMBL389621,https://commonchemistry.cas.org/detail?cas_rn=50-23-7&search=50-23-7,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5754,http://www.chemspider.com/Chemical-Structure.5551.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL389621,,CYP11B1,"Cytochrome P450 11B1,mitochondrial",CYPXIB1; Cytochrome P-450c11; Steroid 11-beta-hydroxylase; CPN1; CYP11B; FHI; P450C11; Cytochrome P450 family 11 subfamily B member 1,P15538,,,T,F,F,F,T,F,F,T,F,
,F,CORT,Cortistatin,CORT; Cortistatin; cortistatin-14; Cortistatin-17; Cortistatin-29; CST-14; CST-17; CST-29; prepro-cortistatin; preprocortistatin,Protein,"11,532",77 – 105 (Cortistatin-29); 89 – 105 (Cortistatin-17),,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,XCL2,Cytokine SCM-1 beta,"C motif chemokine 2; chemokine (C motif) ligand 2; Cytokine SCM-1 beta; SCM-1b; SCM1B; SCYC2; small inducible cytokine subfamily C,member 2; X-C motif chemokine ligand 2; XC chemokine ligand 2; XCL2",Protein,"12,567",22-114,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
312-84-5,T,,D-serine,(R)-2-Amino-3-hydroxypropanoic acid; (R)-Serine; NSC 77689,Small molecule,,,,105.09,71077,64231,11298,https://commonchemistry.cas.org/detail?cas_rn=312-84-5&search=312-84-5,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71077,http://www.chemspider.com/Chemical-Structure.64231.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/11298,,SRR,Serine racemase,D-serine ammonia-lyase; D-serine dehydratase; L-serine ammonia-lyase; L-serine dehydratase,Q9GZT4,,,F,F,T,F,T,F,F,T,F,
53-43-0,T,DHEA,Dehydroepiandrosterone," (3β)-3-Hydroxyandrost-5-en-17-one,5,6-didehydroepiandrosterone",Small molecule,,,,288.424,CID 5881,5670,CHEMBL90593,https://commonchemistry.cas.org/detail?cas_rn=53-43-0&search=53-43-0,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=CID 5881,http://www.chemspider.com/Chemical-Structure.5670.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL90593,,CYP17A1,Cytochrome P450 17A1,"CPT7,CYP17,P450C17,S17AH",P05093,,,T,F,F,F,T,F,F,T,F,
521-18-6,T,DHT,Dihydrotestosterone,,Small molecule,,,,290.442,10635,10189,CHEMBL27769,https://commonchemistry.cas.org/detail?cas_rn=521-18-6&search=521-18-6,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10635,http://www.chemspider.com/Chemical-Structure.10189.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL27769,,SRD5A1,3-oxo-5-alpha-steroid 4-dehydrogenase 1,SR type 1; 5-alpha-reductase,P18405,,,T,F,F,F,T,F,F,T,F,
51-61-6,T,DA,Dopamine,"4- (2-Aminoethyl)benzene-1,2-diol; DPM; PIH",Small molecule,,,,153.178,681,661,CHEMBL59,https://commonchemistry.cas.org/detail?cas_rn=51-61-6&search=51-61-6,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=681,http://www.chemspider.com/Chemical-Structure.661.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL59,,DDC,Aromatic-L-amino-acid decarboxylase,DOPA decarboxylase; AADC,P20711,,,T,F,T,F,T,F,F,T,F,
,F,DYN (PDYN),Dynorphin,ADCA; Alpha-neoendorphin; Beta-neoendorphin; Beta-neoendorphin-dynorphin; Big Dyn; Big dynorphin; Dyn-A17; Dyn-B; dynorphin; Dynorphin A; Dynorphin A(1-13); Dynorphin A(1-17); Dynorphin A(1-8); Dynorphin B; Dynorphin B(1-13); Dynorphin B-29; Leu-enkephalin; Leumorphin; MGC26418; neoendorphin-dynorphin-enkephalin prepropeptide; PDYN; PENKB; Preprodynorphin; preproenkephalin B; prodynorphin; Proenkephalin-B; Rimorphin; SCA23,Protein,"28,385",175 – 184(Alpha-neoendorphin); 175 – 183(Beta-neoendorphin); 175 – 179(Leu-enkephalin); 207 – 238(Big dynorphin); 207 – 223(Dynorphin A(1-17)); 207 – 219(Dynorphin A(1-13)); 207 – 214(Dynorphin A(1-8)); 207 – 211(Leu-enkephalin); 226 – 254(Leumorphin); 226 – 238(Rimorphin); 226 – 230(Leu-enkephalin),cathepsin L; prohormone convertases 1(3); prohormone convertases 1(3)2; furin,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,ENG,Endoglin,CD105; CD105 antigen; EGLN; END; Endoglin; ENG; FLJ41744; HHT1; ORW; ORW1,Protein,"70,578",26-658 (Endoglin),,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,ACTH (POMC; LPH),Adrenocorticotropic hormone (Melanocyte stimulating hormone; Lipotropin),ACTH; Adrenocorticotropic hormone; adrenocorticotropin; alpha-melanocyte-stimulating hormone; Alpha-MSH; Beta-endorphin; Beta-LPH; beta-melanocyte-stimulating hormone; Beta-MSH; CLIP; COLI; Corticotropin; Corticotropin-like intermediary peptide; Corticotropin-lipotropin; Gamma-LPH; Gamma-MSH; Lipotropin beta; Lipotropin gamma; LPH; Melanocyte-stimulating hormone alpha; Melanocyte-stimulating hormone beta; Melanotropin alpha; Melanotropin beta; Melanotropin gamma; Met-enkephalin; MSH; NPP; OBAIRH; opiomelanocortin prepropeptide; POC; POMC; Potential peptide; pro-ACTH-endorphin; Pro-opiomelanocortin; proopiomelanocortin; proopiomelanocortin preproprotein,Protein,"29,424",237-267,"prohormone convertase 1 (PC1),prohormone convertase 2 (PC2),carboxypeptidase E (CPE),and prolylcarboxypeptidase (PRCP)",,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,ET-1,Endothelin-1,ARCND3; Big endothelin-1; EDN1; endothelin 1; Endothelin-1; ET-1; ET1; HDLCQ7; PPET1; Preproendothelin-1; QME,Protein,"24,425",53 – 90 (Big endothelin-1); 53 – 73 (endothelin-1),KEL,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,ET-2,Endothelin-2,EDN2; endothelin 2; Endothelin-2; ET-2; ET2; PPET2; preproendothelin 2; Preproendothelin-2,Protein,"19,960",50 – 69,KEL,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,ET-3,Endothelin-3,EDN3; endothelin 3; Endothelin-3; ET-3; ET3; HSCR4; MGC15067; MGC61498; PPET3; Preproendothelin-3; truncated endothelin 3; WS4B,Protein,"25,454",97 – 117,KEL,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,PENK,Enkephalin,enkephalin A; Leu-enkephalin; Met-enkephalin; Met-enkephalin-Arg-Gly-Leu; Met-enkephalin-Arg-Phe; OGF; Opioid growth factor; PE; PENK; PENK(114-133); PENK(143-183); PENK(237-258); PENK-A; peptide F; preproenkephalin; proenkephalin; Proenkephalin-A; Synenkephalin,Protein,"30,787","Synenkephalin (25-97); Met-enkephalin (100-104),(107-111),(136-140),(210-214),(261-267); PENK (114-133),(143-183),(237-258); Leu-enkephalin (230-234) ",Prohormone thiol protease (PTP),,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,CCL11,Eotaxin,"C-C motif chemokine 11; C-C motif chemokine ligand 11; CCL11; chemokine (C-C motif) ligand 11; Eosinophil chemotactic protein; Eotaxin; eotaxin-1; MGC22554; SCYA11; small inducible cytokine A11; small inducible cytokine subfamily A (Cys-Cys),member 11 (eotaxin); Small-inducible cytokine A11",Protein,"10,732","24-97,3-74",DPPIV,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,EFNA1,Ephrin A1,"B61; ECKLG; EFL1; EFNA1; EPH-related receptor tyrosine kinase ligand 1; ephrin A1; Ephrin-A1; Ephrin-A1,secreted form; epididymis secretory sperm binding protein; EPLG1; gastric cancer metastasis associated long noncoding RNA; GMAN; Immediate early response protein B61; LERK-1; LERK1; ligand of eph-related kinase 1; TNF alpha-induced protein 4; TNFAIP4; Tumor necrosis factor alpha-induced protein 4; tumor necrosis factor,alpha-induced protein 4",Protein,"23,787",19-182,"MMP-1,-2,-9,and -13",,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,EFNA2,Ephrin A2,EFNA2; ELF-1; EPH-related receptor tyrosine kinase ligand 6; ephrin A2; Ephrin-A2; EPLG6; HEK7 ligand; HEK7-L; HEK7-ligand; LERK-6; LERK6; ligand of eph-related kinase 6,Protein,"23,878",25-188,ADAM10,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
